degree_class_code;degree_class_name_it;programme_type_code
DAPL01;PITTURA;PL
DAPL02;SCULTURA;PL
DAPL03;DECORAZIONE;PL
DAPL04;GRAFICA;PL
DAPL05;SCENOGRAFIA;PL
DAPL06;PROGETTAZIONE ARTISTICA PER L'IMPRESA;PL
DAPL07;RESTAURO;PL
DAPL08;NUOVE TECNOLOGIE PER L’ARTE;PL
DAPL08;PROGETTAZIONE ARTISTICA PER L'IMPRESA;PL
DAPL09;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;PL
DAPL10;DIDATTICA DELL'ARTE;PL
DAPL11;CINEMA, AUDIOVISIVO, FOTOGRAFIA;PL
DCPL01;ARPA;PL
DCPL02;ARPA RINASCIMENTALE E BAROCCA;PL
DCPL03;BASSO ELETTRICO JAZZ;PL
DCPL04;BASSO TUBA;PL
DCPL05;BATTERIA E PERCUSSIONI JAZZ;PL
DCPL06;CANTO;PL
DCPL07;CANTO JAZZ;PL
DCPL08;CANTO RINASCIMENTALE E BAROCCO;PL
DCPL09;CHITARRA;PL
DCPL10;CHITARRA JAZZ;PL
DCPL11;CLARINETTO;PL
DCPL12;CLARINETTO JAZZ;PL
DCPL13;CLARINETTO STORICO;PL
DCPL14;CLAVICEMBALO E TASTIERE STORICHE;PL
DCPL15;COMPOSIZIONE;PL
DCPL15/A;Discipline storiche, critiche e analitiche della musica;PL
DCPL16;CONTRABBASSO;PL
DCPL17;CONTRABBASSO JAZZ;PL
DCPL18;CORNETTO;PL
DCPL19;CORNO;PL
DCPL20;CORNO NATURALE;PL
DCPL21;DIDATTICA DELLA MUSICA;PL
DCPL22;DIREZIONE D'ORCHESTRA;PL
DCPL23;EUFONIO;PL
DCPL24;FAGOTTO;PL
DCPL25;FAGOTTO BAROCCO;PL
DCPL26;FISARMONICA;PL
DCPL27;FLAUTO;PL
DCPL27/A;FLAUTO JAZZ;PL
DCPL28;FLAUTO DOLCE;PL
DCPL29;FLAUTO TRAVERSIERE;PL
DCPL30;LIUTO;PL
DCPL31;MAESTRO COLLABORATORE;PL
DCPL32;MANDOLINO;PL
DCPL33;DIREZIONE DI CORO E COMPOSIZIONE CORALE;PL
DCPL34;MUSICA ELETTRONICA;PL
DCPL35;MUSICA VOCALE DA CAMERA;PL
DCPL36;OBOE;PL
DCPL37;OBOE BAROCCO E CLASSICO;PL
DCPL38;ORGANO;PL
DCPL39;PIANOFORTE;PL
DCPL40;PIANOFORTE JAZZ;PL
DCPL41;SAXOFONO;PL
DCPL42;SAXOFONO JAZZ;PL
DCPL43;STRUMENTAZIONE PER ORCHESTRA DI FIATI;PL
DCPL44;STRUMENTI A PERCUSSIONE;PL
DCPL45;TASTIERE ELETTRONICHE JAZZ;PL
DCPL46;TROMBA;PL
DCPL47;TROMBA JAZZ;PL
DCPL48;TROMBA RINASCIMENTALE E BAROCCA;PL
DCPL49;TROMBONE;PL
DCPL50;TROMBONE JAZZ;PL
DCPL51;TROMBONE RINASCIMENTALE E BAROCCO;PL
DCPL52;VIOLA;PL
DCPL53;VIOLA DA GAMBA;PL
DCPL54;VIOLINO;PL
