DEGREE_CLASS_CODE;DEGREE_CLASS;DEGREE_CLASS_NAME;PROGRAMME_TYPE_CODE;
100058;DAPL01;Diploma Accademico di Primo Livello in PITTURA;A1;
100059;DAPL02;Diploma Accademico di Primo Livello in SCULTURA;A1;
100060;DAPL03;Diploma Accademico di Primo Livello in DECORAZIONE;A1;
100061;DAPL04;Diploma Accademico di Primo Livello in GRAFICA;A1;
100062;DAPL05;Diploma Accademico di Primo Livello in SCENOGRAFIA;A1;
100063;DAPL06;Diploma Accademico di Primo Livello in PROGETTAZIONE ARTISTICA PER L'IMPRESA;A1;
100064;DAPL07;Diploma Accademico di Primo Livello in RESTAURO;A1;
100065;DAPL08;Diploma Accademico di Primo Livello in NUOVE TECNOLOGIE DELL'ARTE;A1;
100066;DAPL09;Diploma Accademico di Primo Livello in COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;A1;
100067;DAPL10;Diploma Accademico di Primo Livello in DIDATTICA DELL'ARTE;A1;
100068;DIPL01;Diploma Accademico di Primo Livello in  Progettazione grafica ed editoriale;A1;
100069;DIPL02;Diploma Accademico di Primo Livello in DESIGN;A1;
100071;DADPL02;Diploma Accademico di Primo Livello in RECITAZIONE;A1;
100072;DADPL03;Diploma Accademico di Primo Livello in REGIA;A1;
100073;DDPL01;Diploma Accademico di Primo Livello in Danza classica;A1;
100074;DDPL02;Diploma Accademico di Primo Livello in Danza contemporanea;A1;
100075;DDPL03;Diploma Accademico di Primo Livello in Coreografia;A1;
100101;DCPL01;Diploma Accademico di Primo Livello in ARPA;A1;
100102;DCPL02;Diploma Accademico di Primo Livello in ARPA RINASCIMENTALE E BAROCCA;A1;
100103;DCPL03;Diploma Accademico di Primo Livello in BASSO ELETTRICO;A1;
100104;DCPL04;Diploma Accademico di Primo Livello in BASSO TUBA;A1;
100105;DCPL05;Diploma Accademico di Primo Livello in BATTERIA E PERCUSSIONI JAZZ;A1;
100106;DCPL06;Diploma Accademico di Primo Livello in CANTO;A1;
100107;DCPL07;Diploma Accademico di Primo Livello in CANTO JAZZ;A1;
100108;DCPL08;Diploma Accademico di Primo Livello in CANTO RINASCIMENTALE E BAROCCO;A1;
100109;DCPL09;Diploma Accademico di Primo Livello in CHITARRA;A1;
100110;DCPL10;Diploma Accademico di Primo Livello in CHITARRA JAZZ;A1;
100111;DCPL11;Diploma Accademico di Primo Livello in CLARINETTO;A1;
100112;DCPL12;Diploma Accademico di Primo Livello in CLARINETTO JAZZ;A1;
100113;DCPL13;Diploma Accademico di Primo Livello in CLARINETTO STORICO;A1;
100114;DCPL14;Diploma Accademico di Primo Livello in CLAVICEMBALO E TASTIERE STORICHE;A1;
100115;DCPL15;Diploma Accademico di Primo Livello in COMPOSIZIONE;A1;
100116;DCPL16;Diploma Accademico di Primo Livello in CONTRABBASSO;A1;
100117;DCPL17;Diploma Accademico di Primo Livello in CONTRABBASSO JAZZ;A1;
100118;DCPL18;Diploma Accademico di Primo Livello in CORNETTO;A1;
100119;DCPL19;Diploma Accademico di Primo Livello in CORNO;A1;
100120;DCPL20;Diploma Accademico di Primo Livello in CORNO NATURALE;A1;
100121;DCPL21;Diploma Accademico di Primo Livello in DIDATTICA DELLA MUSICA;A1;
100122;DCPL22;Diploma Accademico di Primo Livello in DIREZIONE D'ORCHESTRA;A1;
100123;DCPL23;Diploma Accademico di Primo Livello in EUFONIO;A1;
100124;DCPL24;Diploma Accademico di Primo Livello in FAGOTTO;A1;
100125;DCPL25;Diploma Accademico di Primo Livello in FAGOTTO BAROCCO;A1;
100126;DCPL26;Diploma Accademico di Primo Livello in FISARMONICA;A1;
100127;DCPL27;Diploma Accademico di Primo Livello in FLAUTO;A1;
100128;DCPL28;Diploma Accademico di Primo Livello in FLAUTO DOLCE;A1;
100129;DCPL29;Diploma Accademico di Primo Livello in FLAUTO TRAVERSIERE;A1;
100130;DCPL30;Diploma Accademico di Primo Livello in LIUTO;A1;
100131;DCPL31;Diploma Accademico di Primo Livello in MAESTRO COLLABORATORE;A1;
100132;DCPL32;Diploma Accademico di Primo Livello in MANDOLINO;A1;
100133;DCPL33;Diploma Accademico di Primo Livello in DIREZIONE DI CORO E COMPOSIZIONE CORALE;A1;
100134;DCPL34;Diploma Accademico di Primo Livello in MUSICA ELETTRONICA;A1;
100135;DCPL35;Diploma Accademico di Primo Livello in MUSICA VOCALE DA CAMERA;A1;
100136;DCPL36;Diploma Accademico di Primo Livello in OBOE;A1;
100137;DCPL37;Diploma Accademico di Primo Livello in OBOE BAROCCO E CLASSICO;A1;
100138;DCPL38;Diploma Accademico di Primo Livello in ORGANO;A1;
100139;DCPL39;Diploma Accademico di Primo Livello in PIANOFORTE;A1;
100140;DCPL40;Diploma Accademico di Primo Livello in PIANOFORTE JAZZ;A1;
100141;DCPL41;Diploma Accademico di Primo Livello in SAXOFONO;A1;
