DEGREE_COURSE_CODE;INSTITUTE_CODE;DEGREE_COURSE_PARENT_CODE;DEGREE_CLASS_CODE;COURSE_LOCATION;VALIDITY_YEAR;PROGRAMME_TYPE_CODE;DEGREE_COURSE_NAME;
2273128;7195;A2AC7195N0000018;101067;037006;2019;A2;SCENOGRAFIA - Teatro d'opera e spettacolo musicale;
2276231;7195;A2AC7195N0000018;101067;037006;2020;A2;SCENOGRAFIA - Teatro d'opera e spettacolo musicale;
2279392;7195;A2AC7195N0000018;101067;037006;2021;A2;SCENOGRAFIA - Teatro d'opera e spettacolo musicale;
2270174;7195;A2AC7195N0000007;101068;037006;2018;A2;FASHION DESIGN;
2273122;7195;A2AC7195N0000007;101068;037006;2019;A2;FASHION DESIGN;
2276226;7195;A2AC7195N0000007;101068;037006;2020;A2;FASHION DESIGN;
2279397;7195;A2AC7195N0000007;101068;037006;2021;A2;FASHION DESIGN;
2270172;7195;A2AC7195N0000008;101068;037006;2018;A2;FOTOGRAFIA;
2273123;7195;A2AC7195N0000008;101068;037006;2019;A2;FOTOGRAFIA;
2276227;7195;A2AC7195N0000008;101068;037006;2020;A2;FOTOGRAFIA;
2279396;7195;A2AC7195N0000008;101068;037006;2021;A2;FOTOGRAFIA;
2270177;7195;A2AC7195N0000009;101068;037006;2018;A2;ILLUSTRAZIONE PER L'EDITORIA;
2273124;7195;A2AC7195N0000009;101068;037006;2019;A2;ILLUSTRAZIONE PER L'EDITORIA;
2276228;7195;A2AC7195N0000009;101068;037006;2020;A2;ILLUSTRAZIONE PER L'EDITORIA;
2279395;7195;A2AC7195N0000009;101068;037006;2021;A2;ILLUSTRAZIONE PER L'EDITORIA;
2270176;7195;A2AC7195N0000010;101068;037006;2018;A2;LINGUAGGI DEL FUMETTO;
2273125;7195;A2AC7195N0000010;101068;037006;2019;A2;LINGUAGGI DEL FUMETTO;
2276229;7195;A2AC7195N0000010;101068;037006;2020;A2;LINGUAGGI DEL FUMETTO;
2279394;7195;A2AC7195N0000010;101068;037006;2021;A2;LINGUAGGI DEL FUMETTO;
2270166;7195;A2AC7195N0000011;101072;037006;2018;A2;DIDATTICA DELL'ARTE E MEDIAZIONE CULTURALE DEL PATRIMONIO ARTISTICO;
2273118;7195;A2AC7195N0000011;101072;037006;2019;A2;DIDATTICA DELL'ARTE E MEDIAZIONE CULTURALE DEL PATRIMONIO ARTISTICO;
2276224;7195;A2AC7195N0000011;101072;037006;2020;A2;DIDATTICA DELL'ARTE E MEDIAZIONE CULTURALE DEL PATRIMONIO ARTISTICO;
2279391;7195;A2AC7195N0000011;101072;037006;2021;A2;DIDATTICA DELL'ARTE E MEDIAZIONE CULTURALE DEL PATRIMONIO ARTISTICO;
