DEGREE_COURSE_CODE;INSTITUTE_CODE;DEGREE_COURSE_PARENT_CODE;DEGREE_CLASS_CODE;COURSE_LOCATION;VALIDITY_YEAR;PROGRAMME_TYPE_CODE;DEGREE_COURSE_NAME;
2319964;54179;M2CO54179N000001;;079087;2024;M2;Pianoforte;
2319971;54179;M1CO54179N000002;;079087;2024;M1;Tecnologie del Suono e Composizione Musicale;
2301058;7201;M2CO7201N0000001;;026012;2024;M2;Avvio al concertismo internazionale in ambito cameristico;
2301061;7201;M1CO7201N0000002;;026012;2024;M1;Management musicale;
2301071;7201;M1CO7201N0000003;;026012;2024;M1;Analisi e interpretazione del repertorio musicale come strumento didattico;
2300197;7196;M1AC7196N0000002;;027042;2024;M1;Design del gioiello contemporaneo;
2300233;7197;M1IS7197N0000001;;048017;2023;M1;Design per l'aerospaziale Design e strategie per l'innovazione tecnologica;
2300446;7199;M2CO7199N0000001;;037006;2023;M2;Produzione teatrale e avviamento alla professione di cantante lirico;
2300447;7199;M2CO7199N0000002;;037006;2023;M2;Corno – indirizzo solistico-orchestrale;
2300448;7199;M2CO7199N0000003;;037006;2023;M2;Prassi e insegnamento della Viola;
2303046;7208;M1CO7208N0000001;;023091;2023;M1;Regia dell'opera lirica;
2304881;7231;M1AC7231N0000001;;013075;2022;M1;Textile design – Product Research Sustainability;
2304883;7231;M1AC7231N0000004;;013075;2022;M1;Professione Registrar;
2303936;7215;M1AC7215N0000002;;058091;2024;M1;Drammaturgia e Sceneggiatura;
2303937;7215;M1AC7215N0000003;;058091;2024;M1;Critica Giornalistica;
2303958;7219;M2AC7219N0000001;;082053;2023;M2;La memoria della mano. Tutela e marketing dei prodotti tradizionali;
2304888;7231;M1AC7231N0000004;;013075;2023;M1;Professione Registrar;
2304889;7231;M1AC7231N0000002;;013075;2023;M1;Textile Design - Product Research Sustainability;
2304896;7231;M1AC7231N0000002;;013075;2024;M1;Textile Design - Product Research Sustainability;
2304897;7231;M1AC7231N0000004;;013075;2024;M1;Professione Registrar;
2304938;7232;M1AC7232N0000007;;015146;2022;M1;New Urban Design;
2304939;7232;M1AC7232N0000006;;015146;2022;M1;Fashion Digital Marketing;
2304940;7232;M1AC7232N0000004;;015146;2022;M1;Art and Ecology;
2304967;7232;M1AC7232N0000001;;015146;2023;M1;Italian Design;
2304994;7232;M1AC7232N0000002;;015146;2023;M1;Creative Advertising;
