INSTITUTE_CODE;INSTITUTE_NAME;INSTITUTE_TYPE;FLAG_TELEMATIC;
7195;ACCADEMIA DI BELLE ARTI DI BOLOGNA;1;0;
7213;ACCADEMIA DI BELLE ARTI DI CARRARA;1;0;
7292;ACCADEMIA DI BELLE ARTI DI CATANIA;1;0;
7212;ACCADEMIA DI BELLE ARTI DI CATANZARO;1;0;
7243;ACCADEMIA DI BELLE ARTI DI FIRENZE;1;0;
7238;ACCADEMIA DI BELLE ARTI DI BARI;1;0;
7310;ACCADEMIA DI BELLE ARTI DI FROSINONE;1;0;
7237;ACCADEMIA DI BELLE ARTI DELL'AQUILA;1;0;
7321;ACCADEMIA DI BELLE ARTI DI LECCE;1;0;
7297;ACCADEMIA DI BELLE ARTI DI MACERATA;1;0;
7245;ACCADEMIA DI BELLE ARTI DI FOGGIA;1;0;
7299;ACCADEMIA DI BELLE ARTI DI MILANO;1;0;
7316;ACCADEMIA DI BELLE ARTI DI NAPOLI;1;0;
7219;ACCADEMIA DI BELLE ARTI DI PALERMO;1;0;
7194;ACCADEMIA DI BELLE ARTI DI REGGIO CALABRIA;1;0;
7295;ACCADEMIA DI BELLE ARTI DI ROMA;1;0;
7334;ACCADEMIA DI BELLE ARTI DI TORINO;1;0;
7318;ACCADEMIA DI BELLE ARTI DI URBINO;1;0;
7196;ACCADEMIA DI BELLE ARTI DI VENEZIA;1;0;
7240;ACCADEMIA DI BELLE ARTI DI SASSARI;1;0;
7262;CONSERVATORIO DI MUSICA D'ALESSANDRIA;1;0;
7215;ACCADEMIA NAZIONALE D'ARTE DRAMMATICA DI ROMA;1;0;
7285;ACCADEMIA NAZIONALE DI DANZA DI ROMA;1;0;
7198;CONSERVATORIO DI MUSICA D'ADRIA;1;0;
7257;CONSERVATORIO DI MUSICA D'AVELLINO;1;0;
7305;CONSERVATORIO DI MUSICA DI BARI;1;0;
7301;CONSERVATORIO DI MUSICA DI BENEVENTO;1;0;
7199;CONSERVATORIO DI MUSICA DI BOLOGNA;1;0;
7270;CONSERVATORIO DI MUSICA DI BOLZANO;1;0;
7300;CONSERVATORIO DI MUSICA DI BRESCIA;1;0;
7242;CONSERVATORIO DI MUSICA DI BRESCIA (sez. Darfo Boario Terme);1;0;
7320;CONSERVATORIO DI MUSICA DI CAGLIARI;1;0;
7210;CONSERVATORIO DI MUSICA DI CAMPOBASSO;1;0;
7201;CONSERVATORIO DI MUSICA DI CASTELFRANCO VENETO;1;0;
7250;CONSERVATORIO DI MUSICA DI MILANO;1;0;
7203;CONSERVATORIO DI MUSICA DI FERMO;1;0;
7331;CONSERVATORIO DI MUSICA DI FROSINONE;1;0;
7239;CONSERVATORIO DI MUSICA DI LECCE;1;0;
7259;CONSERVATORIO DI MUSICA DI MONOPOLI;1;0;
49350;CONSERVATORIO DI MUSICA DI LECCE (sez. Ceglie Messapica);1;0;
7258;CONSERVATORIO DI MUSICA DI FERRARA;1;0;
7333;CONSERVATORIO DI MUSICA DI MANTOVA;1;0;
57930;CONSERVATORIO DI MUSICA CESENA - RIMINI;1;0;
7293;CONSERVATORIO DI MUSICA DI GENOVA;1;0;
7271;CONSERVATORIO DI MUSICA DI MATERA;1;0;
7326;CONSERVATORIO DI MUSICA DI FIRENZE;1;0;
7246;CONSERVATORIO DI MUSICA DI LA SPEZIA;1;0;
7204;CONSERVATORIO DI MUSICA DELL'AQUILA;1;0;
7290;CONSERVATORIO DI MUSICA DI MESSINA;1;0;
7304;CONSERVATORIO DI MUSICA DI COMO;1;0;
7322;CONSERVATORIO DI MUSICA DI FOGGIA;1;0;
7209;CONSERVATORIO DI MUSICA DI COSENZA;1;0;
7294;CONSERVATORIO DI MUSICA DI ROVIGO;1;0;
7214;CONSERVATORIO DI MUSICA DI SALERNO;1;0;
7335;CONSERVATORIO DI MUSICA DI UDINE;1;0;
7284;CONSERVATORIO DI MUSICA DI VIBO VALENTIA;1;0;
7286;CONSERVATORIO DI MUSICA DI LATINA;1;0;
7328;CONSERVATORIO DI MUSICA DI FOGGIA (sez. Rodi Garganico);1;0;
7324;CONSERVATORIO DI MUSICA DI CUNEO;1;0;
7317;CONSERVATORIO DI MUSICA DI NOVARA;1;0;
7205;CONSERVATORIO DI MUSICA DI PESARO;1;0;
7309;CONSERVATORIO DI MUSICA DI ROMA;1;0;
7311;CONSERVATORIO DI MUSICA DI TORINO;1;0;
7327;CONSERVATORIO DI MUSICA DI PADOVA;1;0;
7314;CONSERVATORIO DI MUSICA DI PESCARA;1;0;
7263;CONSERVATORIO DI MUSICA DI PALERMO;1;0;
7287;CONSERVATORIO DI MUSICA DI PIACENZA;1;0;
7222;CONSERVATORIO DI MUSICA DI NAPOLI;1;0;
7220;CONSERVATORIO DI MUSICA DI PARMA;1;0;
7307;CONSERVATORIO DI MUSICA DI POTENZA;1;0;
7211;CONSERVATORIO DI MUSICA DI SASSARI;1;0;
7206;CONSERVATORIO DI MUSICA DI REGGIO CALABRIA;1;0;
19454;ISTITUTO SUPERIORE DI STUDI MUSICALI E COREUTICI DI TERAMO;1;0;
7247;CONSERVATORIO DI MUSICA DI PERUGIA;1;0;
15848;Accademia Italiana di Arte, Moda e Design - FIRENZE;0;0;
33932;Istituto Europeo del Design (IED) - FIRENZE;0;0;
7207;CONSERVATORIO DI MUSICA DI VENEZIA;1;0;
7208;CONSERVATORIO DI MUSICA DI VERONA;1;0;
7265;Istituto Superiore di Studi Musicali della VALLE D'AOSTA;0;0;
7296;Accademia di belle arti leg. ricon. Libera Accademia di Belle Arti - LABA di BRESCIA;0;0;
38122;Istituto Marangoni - Firenze;0;0;
33890;Libera Accademia di Belle Arti di Firenze;0;0;
54190;POLITECNICO DELLE ARTI BERGAMO;1;0;
54185;CONSERVATORIO DI MUSICA DI CALTANISSETTA;1;0;
7228;Accademia di belle arti leg. ricon. Santagiulia di BRESCIA;0;0;
16007;Milano Civica Scuola di Musica - MILANO;0;0;
54170;CONSERVATORIO DI MUSICA DI CATANIA;1;0;
7231;Accademia di belle arti leg. ricon. Aldo Galli di COMO;0;0;
7336;Accademia di belle arti leg. ricon. CUNEO;0;0;
54188;ACCADEMIA DI BELLE ARTI DI GENOVA;1;0;
7269;CONSERVATORIO DI MUSICA DI TRAPANI;1;0;
54178;CONSERVATORIO DI MUSICA DI CREMONA;1;0;
7308;Accademia di belle arti leg. ricon. \"A.C.M.E\" di MILANO;0;0;
7232;ACCADEMIA DI BELLE ARTI LEGALMENTE RICONOSCIUTA di MILANO \"NABA\" - nuova accademia di belle arti;0;0;
7260;CONSERVATORIO DI MUSICA DI TRENTO (sez. Riva del Garda);1;0;
54171;CONSERVATORIO DI MUSICA DI GALLARATE;1;0;
54172;CONSERVATORIO DI MUSICA DI LIVORNO;1;0;
7288;CONSERVATORIO DI MUSICA DI TRENTO;1;0;
54183;CONSERVATORIO DI MUSICA DI LUCCA;1;0;
54182;CONSERVATORIO DI MUSICA DI MODENA E CARPI;1;0;
54179;CONSERVATORIO DI MUSICA DI NOCERA TERINESE;1;0;
7289;CONSERVATORIO DI MUSICA DI TRIESTE;1;0;
54180;CONSERVATORIO DI MUSICA DI PAVIA;1;0;
54186;ACCADEMIA DI BELLE ARTI DI PERUGIA;1;0;
54189;ACCADEMIA DI BELLE ARTI DI RAVENNA;1;0;
7325;CONSERVATORIO DI MUSICA DI VICENZA;1;0;
54173;CONSERVATORIO DI MUSICA DI RAVENNA;1;0;
7330;ACCADEMIA DI BELLE ARTI LEGALMENTE RICONOSCIUTA di ROMA \"Rome University of Fine Arts\";0;0;
54177;CONSERVATORIO DI MUSICA DI REGGIO EMILIA;1;0;
54184;CONSERVATORIO DI MUSICA DI RIBERA;1;0;
7251;Accademia di belle arti leg. ricon. \"Istituto I. Duncan\" di SANREMO (IM);0;0;
54174;CONSERVATORIO DI MUSICA DI SIENA;1;0;
7244;Accademia di belle arti leg. ricon. Rosario Gagliardi di SIRACUSA;0;0;
54187;ACCADEMIA DI BELLE ARTI DI VERONA;1;0;
54181;CONSERVATORIO DI MUSICA DI TARANTO;1;0;
7266;Accademia di belle arti leg. ricon. Lorenzo da Viterbo di VITERBO;0;0;
54175;CONSERVATORIO DI MUSICA DI TERNI;1;0;
32950;Istituto Poliarte;0;0;
16008;Istituto Europeo del Design (IED) - CAGLIARI;0;0;
16009;Scuola di musica di Fiesole - FIESOLE (FI);0;0;
7303;ISIA DI FAENZA;1;0;
7197;ISIA DI FIRENZE;1;0;
34050;ISIA DI PESCARA;1;0;
7241;ISIA DI ROMA;1;0;
7252;ISIA DI URBINO;1;0;
36570;Civica Scuola di Teatro Paolo Grassi;0;0;
11892;Istituto Europeo del Design (IED) - MILANO;0;0;
30557;Istituto Marangoni - Milano;0;0;
33750;Mussida Music Publishing;0;0;
33752;SAE Italia International Technology College;0;0;
16006;Accademia della Moda - NAPOLI;0;0;
35230;Istituto Modartech - Pontedera (PI);0;0;
33751;Libera Accademia di Belle Arti di Rimini;0;0;
12161;Accademia di Costume e Moda - SEDE DI ROMA;0;0;
30555;Accademia Internazionale di Teatro;0;0;
15850;Accademia Italiana di Arte, Moda e Design - ROMA;0;0;
33531;Istituto DUOFIN ART - Accademia delle Arti e Nuove Tecnologie;0;0;
14887;Istituto Europeo del Design (IED) - ROMA;0;0;
16005;Istituto Pantheon Design & Technology - ROMA;0;0;
30553;Istituto Quasar progetto S.R.L.;0;0;
14597;Saint Louis Music Center - College of Music di ROMA;0;0;
7236;Accademia ABADIR - Sant'Agata Li Battiati (CT);0;0;
12185;Siena Jazz - Accademia nazionale del Jazz;0;0;
15847;Istituto d'Arte Applicata e Design (IAAD) - TORINO;0;0;
15501;Istituto Europeo del Design (IED) - TORINO;0;0;
33530;Trentino Art Academy;0;0;
30559;Accademia di Belle Arti \"G.B. Tiepolo\";0;0;
38190;Fondazione Accademia d'Arti e Mestieri dello Spettacolo Teatro alla Scala - Milano;0;0;
41230;ACCADEMIA DI BELLE ARTI LEGALMENTE RICONOSCIUTA di MILANO \"NABA\" - nuova accademia di belle arti - sede Roma;0;0;
48750;Scuola del Teatro Musicale;0;0;
48751;Accademia del Lusso;0;0;
48770;The Bernstein School of Musical Theater;0;0;
52371;Istituto del Design (IFOR s.r.l.) - MATERA;0;0;
52390;Istituto Italiano Design - PERUGIA;0;0;
52391;Accademia di belle arti leg. ricon. \"Istituto I. Duncan\" di SANREMO (IM) - SEDE DECENTRATA DI MILANO;0;0;
52392;Accademia di Costume e Moda - SEDE DECENTRATA DI MILANO;0;0;
34890;Accademia della Moda - MILANO;0;0;
57510;Istituto Secoli;0;0;
57531;Parco Scientifico e Tecnologico Galileo SCpA;0;0;
59050;ACCADEMIA DEL LUSSO - SEDE DECENTRATA DI ROMA;0;0;
59070;SAINT LOUIS COLLEGE OF MUSIC - SEDE DECENTRATA DI MILANO;0;0;
59071;RUFA - ROME UNIVERSITY OF FINE ARTS - SEDE DECENTRATA DI MILANO;0;0;
