degree_class_code;degree_class_name_it;degree_class_number;programme_type_code;degree_class_name_en;;;
DAPL01;PITTURA;DAPL01;PL;;D.M. MIUR 30 settembre 2009, n.123 ;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DAPL02;SCULTURA;DAPL02;PL;;D.M. MIUR 30 settembre 2009, n.123 ;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DAPL03;DECORAZIONE;DAPL03;PL;;D.M. MIUR 30 settembre 2009, n.123 ;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DAPL04;GRAFICA;DAPL04;PL;;D.M. MIUR 30 settembre 2009, n.123 ;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DAPL05;SCENOGRAFIA;DAPL05;PL;;D.M. MIUR 30 settembre 2009, n.123 ;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DAPL06;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;PL;;D.M. MIUR 30 settembre 2009, n.123 ;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DAPL07;RESTAURO;DAPL07;PL;;D.M. MIUR 30 settembre 2009, n.123 ;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DAPL08;NUOVE TECNOLOGIE PER L’ARTE;DAPL08;PL;;D.M. MIUR 30 settembre 2009, n.123 ;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DAPL08;PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL08;PL;;D.M. MIUR 30 settembre 2009, n.123 ;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DAPL09;COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;PL;;D.M. MIUR 30 settembre 2009, n.123 ;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DAPL10;DIDATTICA DELL'ARTE;DAPL10;PL;;D.M. MIUR 30 settembre 2009, n.123 ;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DAPL11;CINEMA, AUDIOVISIVO, FOTOGRAFIA;DAPL11;PL;;D.M. MIUR 6 luglio 2020, n. 287;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL01;ARPA;DCPL01;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL02;ARPA RINASCIMENTALE E BAROCCA;DCPL02;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL03;BASSO ELETTRICO JAZZ;DCPL03;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL04;BASSO TUBA;DCPL04;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL05;BATTERIA E PERCUSSIONI JAZZ;DCPL05;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL06;CANTO;DCPL06;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL07;CANTO JAZZ;DCPL07;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL08;CANTO RINASCIMENTALE E BAROCCO;DCPL08;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL09;CHITARRA;DCPL09;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL10;CHITARRA JAZZ;DCPL10;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
DCPL11;CLARINETTO;DCPL11;PL;;D.M. MIUR 30 settembre 2009, n.124;classe L-3 (Discipline delle arti figurative, della musica, dello spettacolo e della moda);
