degree_course_code;degree_course_name_it;degree_class_code;degree_course_name_en
100110;Corso di Diploma Accademico di Primo Livello in CHITARRA JAZZ;DCPL10;
100111;Corso di Diploma Accademico di Primo Livello in CLARINETTO;DCPL11;
100112;Corso di Diploma Accademico di Primo Livello in CLARINETTO JAZZ;DCPL12;
100113;Corso di Diploma Accademico di Primo Livello in CLARINETTO STORICO;DCPL13;
100114;Corso di Diploma Accademico di Primo Livello in CLAVICEMBALO E TASTIERE STORICHE;DCPL14;
100115;Corso di Diploma Accademico di Primo Livello in COMPOSIZIONE;DCPL15;
100116;Corso di Diploma Accademico di Primo Livello in CONTRABBASSO;DCPL16;
100117;Corso di Diploma Accademico di Primo Livello in CONTRABBASSO JAZZ;DCPL17;
100118;Corso di Diploma Accademico di Primo Livello in CORNETTO;DCPL18;
100119;Corso di Diploma Accademico di Primo Livello in CORNO;DCPL19;
100120;Corso di Diploma Accademico di Primo Livello in CORNO NATURALE;DCPL20;
100121;Corso di Diploma Accademico di Primo Livello in DIDATTICA DELLA MUSICA;DCPL21;
100122;Corso di Diploma Accademico di Primo Livello in DIREZIONE D’ORCHESTRA;DCPL22;
100123;Corso di Diploma Accademico di Primo Livello in EUFONIO;DCPL23;
100124;Corso di Diploma Accademico di Primo Livello in FAGOTTO;DCPL24;
100125;Corso di Diploma Accademico di Primo Livello in FAGOTTO BAROCCO;DCPL25;
100126;Corso di Diploma Accademico di Primo Livello in FISARMONICA;DCPL26;
100127;Corso di Diploma Accademico di Primo Livello in FLAUTO;DCPL27;
100128;Corso di Diploma Accademico di Primo Livello in FLAUTO DOLCE;DCPL28;
100129;Corso di Diploma Accademico di Primo Livello in FLAUTO TRAVERSIERE;DCPL29;
100130;Corso di Diploma Accademico di Primo Livello in LIUTO;DCPL30;
100131;Corso di Diploma Accademico di Primo Livello in MAESTRO COLLABORATORE;DCPL31;
100132;Corso di Diploma Accademico di Primo Livello in MANDOLINO;DCPL32;
100133;Corso di Diploma Accademico di Primo Livello in DIREZIONE DI CORO E COMPOSIZIONE CORALE;DCPL33;
100134;Corso di Diploma Accademico di Primo Livello in MUSICA ELETTRONICA;DCPL34;
100135;Corso di Diploma Accademico di Primo Livello in MUSICA VOCALE DA CAMERA;DCPL35;
100136;Corso di Diploma Accademico di Primo Livello in OBOE;DCPL36;
100137;Corso di Diploma Accademico di Primo Livello in OBOE BAROCCO E CLASSICO;DCPL37;
100138;Corso di Diploma Accademico di Primo Livello in ORGANO;DCPL38;
100139;Corso di Diploma Accademico di Primo Livello in PIANOFORTE;DCPL39;
101040;Diploma Accademico di Secondo Livello in PIANOFORTE JAZZ;DCSL40;
101041;Diploma Accademico di Secondo Livello in SAXOFONO;DCSL41;
101042;Diploma Accademico di Secondo Livello in SAXOFONO JAZZ;DCSL42;
101043;Diploma Accademico di Secondo Livello in STRUMENTAZIONE PER ORCHESTRA DI FIATI;DCSL43;
101044;Diploma Accademico di Secondo Livello in STRUMENTI A PERCUSSIONE;DCSL44;
101045;Diploma Accademico di Secondo Livello in TASTIERE ELETTRONICHE;DCSL45;
101046;Diploma Accademico di Secondo Livello in TROMBA;DCSL46;
101047;Diploma Accademico di Secondo Livello in TROMBA JAZZ;DCSL47;
101048;Diploma Accademico di Secondo Livello in TROMBA RINASCIMENTALE E BAROCCA;DCSL48;
101049;Diploma Accademico di Secondo Livello in TROMBONE;DCSL49;
101050;Diploma Accademico di Secondo Livello in TROMBONE JAZZ;DCSL50;
101051;Diploma Accademico di Secondo Livello in TROMBONE RINASCIMENTALE E BAROCCO;DCSL51;
101052;Diploma Accademico di Secondo Livello in VIOLA;DCSL52;
101053;Diploma Accademico di Secondo Livello in VIOLA DA GAMBA;DCSL53;
101054;Diploma Accademico di Secondo Livello in VIOLINO;DCSL54;
101055;Diploma Accademico di Secondo Livello in VIOLINO BAROCCO;DCSL55;
101056;Diploma Accademico di Secondo Livello in VIOLINO JAZZ;DCSL56;
101057;Diploma Accademico di Secondo Livello in VIOLONCELLO;DCSL57;
101058;Diploma Accademico di Secondo Livello in VIOLONCELLO BAROCCO;DCSL58;
101063;Diploma Accademico di Secondo Livello in PITTURA;DASL01;
101064;Diploma Accademico di Secondo Livello in SCULTURA;DASL02;
101065;Diploma Accademico di Secondo Livello in DECORAZIONE;DASL03;
100140;Corso di Diploma Accademico di Primo Livello in PIANOFORTE JAZZ;DCPL40;
100141;Corso di Diploma Accademico di Primo Livello in SAXOFONO;DCPL41;
100142;Corso di Diploma Accademico di Primo Livello in SAXOFONO JAZZ;DCPL42;
100143;Corso di Diploma Accademico di Primo Livello in STRUMENTAZIONE PER ORCHESTRA DI FIATI;DCPL43;
100144;Corso di Diploma Accademico di Primo Livello in STRUMENTI A PERCUSSIONE;DCPL44;
100145;Corso di Diploma Accademico di Primo Livello in TASTIERE ELETTRONICHE;DCPL45;
100146;Corso di Diploma Accademico di Primo Livello in TROMBA;DCPL46;
100147;Corso di Diploma Accademico di Primo Livello in TROMBA JAZZ;DCPL47;
100148;Corso di Diploma Accademico di Primo Livello in TROMBA RINASCIMENTALE E BAROCCA;DCPL48;
100149;Corso di Diploma Accademico di Primo Livello in TROMBONE;DCPL49;
100150;Corso di Diploma Accademico di Primo Livello in TROMBONE JAZZ;DCPL50;
100151;Corso di Diploma Accademico di Primo Livello in TROMBONE RINASCIMENTALE E BAROCCO;DCPL51;
100152;Corso di Diploma Accademico di Primo Livello in VIOLA;DCPL52;
100153;Corso di Diploma Accademico di Primo Livello in VIOLA DA GAMBA;DCPL53;
100154;Corso di Diploma Accademico di Primo Livello in VIOLINO;DCPL54;
100155;Corso di Diploma Accademico di Primo Livello in VIOLINO BAROCCO;DCPL55;
100156;Corso di Diploma Accademico di Primo Livello in VIOLINO JAZZ;DCPL56;
100157;Corso di Diploma Accademico di Primo Livello in VIOLONCELLO;DCPL57;
100160;Corso di Diploma Accademico di Primo Livello in MUSICA APPLICATA;DCPL60;
100158;Corso di Diploma Accademico di Primo Livello in VIOLONCELLO BAROCCO;DCPL58;
101002;Diploma Accademico di Secondo Livello in ARPA;DCSL01;
101003;Diploma Accademico di Secondo Livello in ARPA RINASCIMENTALE E BAROCCA;DCSL02;
101004;Diploma Accademico di Secondo Livello in BASSO ELETTRICO;DCSL03;
101005;Diploma Accademico di Secondo Livello in BASSO TUBA;DCSL04;
101006;Diploma Accademico di Secondo Livello in BATTERIA E PERCUSSIONI JAZZ;DCSL05;
101007;Diploma Accademico di Secondo Livello in CANTO;DCSL06;
101008;Diploma Accademico di Secondo Livello in CANTO JAZZ;DCSL07;
101009;Diploma Accademico di Secondo Livello in CANTO RINASCIMENTALE E BAROCCO;DCSL08;
101010;Diploma Accademico di Secondo Livello in CHITARRA;DCSL09;
101011;Diploma Accademico di Secondo Livello in CHITARRA JAZZ;DCSL10;
101012;Diploma Accademico di Secondo Livello in CLARINETTO;DCSL11;
101013;Diploma Accademico di Secondo Livello in CLARINETTO JAZZ;DCSL12;
101014;Diploma Accademico di Secondo Livello in CLARINETTO STORICO;DCSL13;
101015;Diploma Accademico di Secondo Livello in CLAVICEMBALO E TASTIERE STORICHE;DCSL14;
101016;Diploma Accademico di Secondo Livello in COMPOSIZIONE;DCSL15;
101017;Diploma Accademico di Secondo Livello in CONTRABBASSO;DCSL16;
101018;Diploma Accademico di Secondo Livello in CONTRABBASSO JAZZ;DCSL17;
101019;Diploma Accademico di Secondo Livello in CORNETTO;DCSL18;
101020;Diploma Accademico di Secondo Livello in CORNO;DCSL19;
101021;Diploma Accademico di Secondo Livello in CORNO NATURALE;DCSL20;
101022;Diploma Accademico di Secondo Livello in DIDATTICA DELLA MUSICA;DCSL21;
101023;Diploma Accademico di Secondo Livello in DIREZIONE D’ORCHESTRA;DCSL22;
101024;Diploma Accademico di Secondo Livello in EUFONIO;DCSL23;
101025;Diploma Accademico di Secondo Livello in FAGOTTO;DCSL24;
101026;Diploma Accademico di Secondo Livello in FAGOTTO BAROCCO E CLASSICO;DCSL25;
101027;Diploma Accademico di Secondo Livello in FISARMONICA;DCSL26;
101028;Diploma Accademico di Secondo Livello in FLAUTO;DCSL27;
101029;Diploma Accademico di Secondo Livello in FLAUTO DOLCE;DCSL28;
101030;Diploma Accademico di Secondo Livello in FLAUTO TRAVERSIERE;DCSL29;
101031;Diploma Accademico di Secondo Livello in LIUTO;DCSL30;
101032;Diploma Accademico di Secondo Livello in MAESTRO COLLABORATORE;DCSL31;
101033;Diploma Accademico di Secondo Livello in MANDOLINO;DCSL32;
101034;Diploma Accademico di Secondo Livello in DIREZIONE DI CORO E COMPOSIZIONE CORALE;DCSL33;
101035;Diploma Accademico di Secondo Livello in MUSICA ELETTRONICA;DCSL34;
101036;Diploma Accademico di Secondo Livello in OBOE;DCSL36;
101037;Diploma Accademico di Secondo Livello in OBOE BAROCCO E CLASSICO;DCSL37;
101038;Diploma Accademico di Secondo Livello in ORGANO;DCSL38;
101039;Diploma Accademico di Secondo Livello in PIANOFORTE;DCSL39;
100058;Diploma Accademico di Primo Livello in PITTURA;DAPL01;
100059;Diploma Accademico di Primo Livello in SCULTURA;DAPL02;
100060;Diploma Accademico di Primo Livello in DECORAZIONE;DAPL03;
100061;Diploma Accademico di Primo Livello in GRAFICA;DAPL04;
100062;Diploma Accademico di Primo Livello in SCENOGRAFIA;DAPL05;
100063;Diploma Accademico di Primo Livello in PROGETTAZIONE ARTISTICA PER L'IMPRESA;DAPL06;
100065;Diploma Accademico di Primo Livello in NUOVE TECNOLOGIE DELL'ARTE;DAPL08;
100066;Diploma Accademico di Primo Livello in COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DAPL09;
100067;Diploma Accademico di Primo Livello in DIDATTICA DELL'ARTE;DAPL10;
100068;Diploma ISIA di Primo Livello in  Progettazione grafica ed editoriale;DIPL01;
100069;Diploma ISIA di Primo Livello in DESIGN;DIPL02;
100071;Diploma Accademico di Primo Livello in RECITAZIONE;DADPL02;
100072;Diploma Accademico di Primo Livello in REGIA;DADPL03;
100073;Diploma Accademico di Primo Livello in Danza classica;DDPL01;
100075;Diploma Accademico di Primo Livello in Coreografia;DDPL03;
100076;Diploma Accademico di Primo Livello in Didattica della danza;DDPL04;
100101;Corso di Diploma Accademico di Primo Livello in ARPA;DCPL01;
100102;Corso di Diploma Accademico di Primo Livello in ARPA RINASCIMENTALE E BAROCCA;DCPL02;
100103;Corso di Diploma Accademico di Primo Livello in BASSO ELETTRICO;DCPL03;
100104;Corso di Diploma Accademico di Primo Livello in BASSO TUBA;DCPL04;
100105;Corso di Diploma Accademico di Primo Livello in BATTERIA E PERCUSSIONI JAZZ;DCPL05;
100106;Corso di Diploma Accademico di Primo Livello in CANTO;DCPL06;
100107;Corso di Diploma Accademico di Primo Livello in CANTO JAZZ;DCPL07;
100108;Corso di Diploma Accademico di Primo Livello in CANTO RINASCIMENTALE E BAROCCO;DCPL08;
100109;Corso di Diploma Accademico di Primo Livello in CHITARRA;DCPL09;
101066;Diploma Accademico di Secondo Livello in GRAFICA;DASL04;
101067;Diploma Accademico di Secondo Livello in SCENOGRAFIA;DASL05;
101068;Diploma Accademico di Secondo Livello in PROGETTAZIONE ARTISTICA PER L'IMPRESA;DASL06;
101070;Diploma Accademico di Secondo Livello in NUOVE TECNOLOGIE DELL'ARTE;DASL08;
101071;Diploma Accademico di Secondo Livello in COMUNICAZIONE E VALORIZZAZIONE DEL PATRIMONIO ARTISTICO CONTEMPORANEO;DASL09;
