INSTITUTE_CODE;INSTITUTE_NAME;INSTITUTE_TYPE;FLAG_TELEMATIC;
01;Università Politecnica delle Marche di Ancona;1;0;
02;Università degli studi di Bari;1;0;
05;Università della Calabria;1;0;
06;Università degli studi di Camerino;1;0;
12;Università del Salento;1;0;
21;Università degli studi di Parma;1;0;
22;Università degli studi di Pavia;1;0;
24;Università di Pisa;1;0;
30;Università degli studi di Siena;1;0;
38;Università degli studi della Basilicata;1;0;
42;Università degli studi L'Orientale di Napoli;1;0;
45;Scuola internazionale superiore di studi avanzati di Trieste;1;0;
53;Università degli studi Gabriele D'Annunzio di Chieti e Pescara;1;0;
55;Università degli studi di L'Aquila;1;0;
57;Università Cattolica del Sacro Cuore;0;0;
62;Università degli studi di Trento;1;0;
99;Università per stranieri di Perugia;1;0;
A7;Università degli studi Roma Tre;1;0;
A8;Università degli studi di Teramo;1;0;
B0;Università degli Studi Internazionali di Roma – UNINT;0;0;
C0;Università degli studi di Roma Foro Italico;1;0;
C9;Università degli studi di Foggia;1;0;
D6;Libera Università della Sicilia Centrale KORE di Enna;0;0;
D7;Università Europea di Roma;0;0;
E8;Universitas telematica Mercatorum di Roma;0;1;
E9;Università per stranieri Dante Alighieri di Reggio Calabria;0;0;
S5;Scuola Superiore Meridionale di Napoli;1;0;
03;Alma Mater Studiorum - Università di Bologna;1;0;
13;Università degli studi di Macerata;1;0;
14;Università degli studi di Messina;1;0;
17;Università degli studi di Modena e Reggio Emilia;1;0;
20;Università degli studi di Palermo;1;0;
23;Università degli studi di Perugia;1;0;
26;Università degli studi di Roma La Sapienza;1;0;
31;Università degli studi di Torino;1;0;
32;Politecnico di Torino;1;0;
35;Università degli Studi della Tuscia;1;0;
51;Università degli studi di Bergamo;1;0;
58;Libera Università di Lingue e Comunicazione (IULM);0;0;
60;Libera Università Maria SS.Assunta (LUMSA) di Roma;0;0;
61;LUISS - Libera Università internazionale degli studi sociali Guido Carli di Roma;0;0;
97;Università per stranieri di Siena;1;0;
A6;Link Campus University di Roma;0;0;
A9;Libera Università, Vita-Salute San Raffaele di Milano;0;0;
D1;Libera Università Mediterranea Giuseppe Degennaro;0;0;
D9;Università telematica e-Campus di Novedrate (CO);0;1;
E0;Università telematica Niccolò Cusano di Roma;0;1;
E2;Università telematica Giustino Fortunato di Benevento;0;1;
F01;Istituto di Ricerche Farmacologiche Mario Negri;0;0;
S0;Istituto universitario di studi superiori di Pavia;1;0;
S1;Scuola IMT Alti Studi di Lucca;1;0;
S2;Istituto Italiano di Scienze Umane di Firenze;1;0;
04;Università degli studi di Cagliari;1;0;
08;Università degli studi di Catania;1;0;
09;Università degli studi di Ferrara;1;0;
10;Università degli studi di Firenze;1;0;
15;Università degli studi di Milano;1;0;
16;Politecnico di Milano;1;0;
18;Università degli studi di Napoli Federico II;1;0;
19;Università degli studi di Padova;1;0;
28;Università degli studi di Salerno;1;0;
29;Università degli studi di Sassari;1;0;
34;Università degli studi di Udine;1;0;
44;Scuola superiore di studi universitari e perfezionamento S. Anna di Pisa;1;0;
46;Università degli studi di Brescia;1;0;
47;Università degli studi Mediterranea di Reggio Calabria;1;0;
48;Politecnico di Bari;1;0;
50;Università Carlo Cattaneo (LIUC);0;0;
999;Università non definita;1;0;
A0;Università Campus Bio-Medico di Roma;0;0;
C3;Libera Università di Bolzano;0;0;
C4;Università degli Studi del Sannio;1;0;
C7;Università degli studi dell'Insubria;1;0;
C8;Università degli studi del Piemonte Orientale;1;0;
D2;Università della Valle d'Aosta;0;0;
E1;Università telematica Pegaso di Napoli;0;1;
E7;Università Telematica degli Studi IUL di Firenze;0;1;
H1;Humanitas University;0;0;
H2;Saint Camillus International University of Health;0;0;
S4;Gran Sasso Science Institute - Scuola di dottorato internazionale dell'Aquila;1;0;
W3;Istituto Superiore di Educazione Fisica di Milano;1;0;
07;Università degli Studi di Cassino e del Lazio Meridionale;1;0;
11;Università degli studi di Genova;1;0;
27;Università degli studi di Roma Tor Vergata;1;0;
33;Università degli studi di Trieste;1;0;
36;Università Ca' Foscari Venezia;1;0;
37;Università Iuav di Venezia;1;0;
39;Università degli studi del Molise;1;0;
40;Università degli studi di Verona;1;0;
41;Università degli studi di Napoli Parthenope;1;0;
43;Scuola normale superiore di Pisa;1;0;
49;Università degli studi della Campania Luigi Vanvitelli;1;0;
56;Università commerciale Luigi Bocconi di Milano;0;0;
59;Università degli studi Suor Orsola Benincasa di Napoli;0;0;
63;Università degli studi Carlo Bo di Urbino;1;0;
C5;Università degli studi di Catanzaro Magna Grecia;1;0;
C6;Università degli studi di Milano Bicocca;1;0;
D0;Università telematica internazionale Uninettuno di Roma;0;1;
D3;Università telematica Guglielmo Marconi di Roma;0;1;
D4;Università telematica Unitelma Sapienza di Roma;0;1;
D5;Università di Scienze Gastronomiche;0;0;
D8;Università telematica Leonardo da Vinci di Torrevecchia Teatina (CH);0;1;
E4;Università telematica San Raffaele di Roma - (già UNITEL);0;1;
