degree_class_code;degree_class_name_it;degree_class_number;programme_type_code;degree_class_name_en
LT1;Biotecnologie;1;LT;
LT2;Scienze dei servizi giuridici;2;LT;
LT3;Scienze della mediazione linguistica;3;LT;
LT4;Scienze dell'architettura e dell'ingegneria edile;4;LT;
LT5;Lettere;5;LT;
LT6;Scienze del servizio sociale;6;LT;
LT7;Urbanistica e scienze della pianificazione territoriale e ambientale;7;LT;
LT8;Ingegneria civile e ambientale;8;LT;
LT9;Ingegneria dell'informazione;9;LT;
LT10;Ingegneria industriale;10;LT;
LT11;Lingue e culture moderne;11;LT;
LT12;Scienze biologiche;12;LT;
LT13;Scienze dei beni culturali;13;LT;
LT14;Scienze della comunicazione;14;LT;
LT15;Scienze politiche e delle relazioni internazionali;15;LT;
LT16;Scienze della Terra;16;LT;
LT17;Scienze dell'economia e della gestione aziendale;17;LT;
LT18;Scienze dell'educazione e della formazione;18;LT;
LT19;Scienze dell'amministrazione;19;LT;
LT20;Scienze e tecnologie agrarie, agroalimentari e forestali;20;LT;
LT21;Scienze e tecnologie chimiche;21;LT;
LT22;Scienze e tecnologie della navigazione marittima e aerea;22;LT;
LT23;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;23;LT;
LT24;Scienze e tecnologie farmaceutiche;24;LT;
LT25;Scienze e tecnologie fisiche;25;LT;
LT26;Scienze e tecnologie informatiche;26;LT;
LT27;Scienze e tecnologie per l'ambiente e la natura;27;LT;
LT28;Scienze economiche;28;LT;
LT29;Filosofia;29;LT;
LT30;Scienze geografiche;30;LT;
LT31;Scienze giuridiche;31;LT;
LT32;Scienze matematiche;32;LT;
LT33;Scienze delle attivita motorie e sportive;33;LT;
LT34;Scienze e tecniche psicologiche;34;LT;
LT35;Scienze sociali per la cooperazione, lo sviluppo e la pace;35;LT;
LT36;Scienze sociologiche;36;LT;
LT37;Scienze statistiche;37;LT;
LT38;Scienze storiche;38;LT;
LT39;Scienze del turismo;39;LT;
LT40;Scienze e tecnologie zootecniche e delle produzioni animali;40;LT;
LT41;Tecnologie per la conservazione e il restauro dei beni culturali;41;LT;
LT42;Disegno industriale;42;LT;
LTSNT1;Professioni sanitarie, infermieristiche e professione sanitaria ostetrica;SNT/1;LT;
LTSNT2;Professioni sanitarie della riabilitazione;SNT/2;LT;
LTSNT3;Professioni sanitarie tecniche;SNT/3;LT;
LTSNT4;Professioni sanitarie della prevenzione;SNT/4;LT;
LTDS1;Scienze della difesa e della sicurezza;DS/1;LT;
LS01S;Specialistiche in antropologia culturale ed etnologia;1/S;LS;
LS02S;Specialistiche in archeologia;2/S;LS;
LS03S;Specialistiche in architettura del paesaggio;3/S;LS;
LS04S;Specialistiche in architettura e ingegneria edile;4/S;LS;
LS05S;Specialistiche in archivistica e biblioteconomia;5/S;LS;
LS06S;Specialistiche in biologia;6/S;LS;
LS07S;Specialistiche in biotecnologie agrarie;7/S;LS;
LS08S;Specialistiche in biotecnologie industriali;8/S;LS;
LS09S;Specialistiche in biotecnologie mediche, veterinarie e farmaceutiche;9/S;LS;
LS10S;Specialistiche in conservazione dei beni architettonici e ambientali;10/S;LS;
LS11S;Specialistiche in conservazione dei beni scientifici e della civilta industriale;11/S;LS;
LS12S;Specialistiche in conservazione e restauro del patrimonio storico-artistico;12/S;LS;
LS13S;Specialistiche in editoria, comunicazione multimediale e giornalismo;13/S;LS;
TU14S;Specialistiche in farmacia e farmacia industriale;14/S;TU;
LS15S;Specialistiche in filologia e letterature dell'antichita;15/S;LS;
LS16S;Specialistiche in filologia moderna;16/S;LS;
LS17S;Specialistiche in filosofia e storia della scienza;17/S;LS;
LS18S;Specialistiche in filosofia teoretica, morale, politica ed estetica;18/S;LS;
LS19S;Specialistiche in finanza;19/S;LS;
LS20S;Specialistiche in fisica;20/S;LS;
LS21S;Specialistiche in geografia;21/S;LS;
LS22S;Specialistiche in giurisprudenza;22/S;LS;
LS23S;Specialistiche in informatica;23/S;LS;
LS24S;Specialistiche in informatica per le discipline umanistiche;24/S;LS;
LS25S;Specialistiche in ingegneria aerospaziale e astronautica;25/S;LS;
LS26S;Specialistiche in ingegneria biomedica;26/S;LS;
LS27S;Specialistiche in ingegneria chimica;27/S;LS;
LS28S;Specialistiche in ingegneria civile;28/S;LS;
LS29S;Specialistiche in ingegneria dell'automazione;29/S;LS;
LS30S;Specialistiche in ingegneria delle telecomunicazioni;30/S;LS;
LS31S;Specialistiche in ingegneria elettrica;31/S;LS;
LS32S;Specialistiche in ingegneria elettronica;32/S;LS;
LS33S;Specialistiche in ingegneria energetica e nucleare;33/S;LS;
LS34S;Specialistiche in ingegneria gestionale;34/S;LS;
LS35S;Specialistiche in ingegneria informatica;35/S;LS;
LS36S;Specialistiche in ingegneria meccanica;36/S;LS;
LS37S;Specialistiche in ingegneria navale;37/S;LS;
LS38S;Specialistiche in ingegneria per l'ambiente e il territorio;38/S;LS;
LS39S;Specialistiche in interpretariato di conferenza;39/S;LS;
LS40S;Specialistiche in lingua e cultura italiana;40/S;LS;
LS41S;Specialistiche in lingue e letterature afroasiatiche;41/S;LS;
LS42S;Specialistiche in lingue e letterature moderne euroamericane;42/S;LS;
LS43S;Specialistiche in lingue straniere per la comunicazione internazionale;43/S;LS;
LS44S;Specialistiche in linguistica;44/S;LS;
LS45S;Specialistiche in matematica;45/S;LS;
TU46S;Specialistiche in medicina e chirurgia;46/S;TU;
TU47S;Specialistiche in medicina veterinaria;47/S;TU;
LS48S;Specialistiche in metodi per l'analisi valutativa dei sistemi complessi;48/S;LS;
LS49S;Specialistiche in metodi per la ricerca empirica nelle scienze sociali;49/S;LS;
LS50S;Specialistiche in modellistica matematico-fisica per l'ingegneria;50/S;LS;
LS51S;Specialistiche in musicologia e beni musicali;51/S;LS;
TU52S;Specialistiche in odontoiatria e protesi dentaria;52/S;TU;
LS53S;Specialistiche in organizzazione e gestione dei servizi per lo sport e le attivita motorie;53/S;LS;
LS54S;Specialistiche in pianificazione territoriale urbanistica e ambientale;54/S;LS;
LS55S;Specialistiche in progettazione e gestione dei sistemi turistici;55/S;LS;
LS56S;Specialistiche in programmazione e gestione dei servizi educativi e formativi;56/S;LS;
LS57S;Specialistiche in programmazione e gestione delle politiche e dei servizi sociali;57/S;LS;
LS58S;Specialistiche in psicologia;58/S;LS;
LS59S;Specialistiche in pubblicita e comunicazione d'impresa;59/S;LS;
LS60S;Specialistiche in relazioni internazionali;60/S;LS;
LS61S;Specialistiche in scienza e ingegneria dei materiali;61/S;LS;
LS62S;Specialistiche in scienze chimiche;62/S;LS;
LS63S;Specialistiche in scienze cognitive;63/S;LS;
LS64S;Specialistiche in scienze dell'economia;64/S;LS;
LS65S;Specialistiche in scienze dell'educazione degli adulti e della formazione continua;65/S;LS;
LS66S;Specialistiche in scienze dell'universo;66/S;LS;
LS67S;Specialistiche in scienze della comunicazione sociale e istituzionale;67/S;LS;
LS68S;Specialistiche in scienze della natura;68/S;LS;
LS69S;Specialistiche in scienze della nutrizione umana;69/S;LS;
LS70S;Specialistiche in scienze della politica;70/S;LS;
LS71S;Specialistiche in scienze delle pubbliche amministrazioni;71/S;LS;
LS72S;Specialistiche in scienze delle religioni;72/S;LS;
LS73S;Specialistiche in scienze dello spettacolo e della produzione multimediale;73/S;LS;
LS74S;Specialistiche in scienze e gestione delle risorse rurali e forestali;74/S;LS;
LS75S;Specialistiche in scienze e tecnica dello sport;75/S;LS;
LS76S;Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative;76/S;LS;
LS77S;Specialistiche in scienze e tecnologie agrarie;77/S;LS;
LS78S;Specialistiche in scienze e tecnologie agroalimentari;78/S;LS;
LS79S;Specialistiche in scienze e tecnologie agrozootecniche;79/S;LS;
LS80S;Specialistiche in scienze e tecnologie dei sistemi di navigazione;80/S;LS;
LS81S;Specialistiche in scienze e tecnologie della chimica industriale;81/S;LS;
LS82S;Specialistiche in scienze e tecnologie per l'ambiente e il territorio;82/S;LS;
LS83S;Specialistiche in scienze economiche per l'ambiente e la cultura;83/S;LS;
LS84S;Specialistiche in scienze economico-aziendali;84/S;LS;
LS85S;Specialistiche in scienze geofisiche;85/S;LS;
LS86S;Specialistiche in scienze geologiche;86/S;LS;
LS87S;Specialistiche in scienze pedagogiche;87/S;LS;
LS88S;Specialistiche in scienze per la cooperazione allo sviluppo;88/S;LS;
LS89S;Specialistiche in sociologia;89/S;LS;
LS90S;Specialistiche in statistica demografica e sociale;90/S;LS;
LS91S;Specialistiche in statistica economica, finanziaria ed attuariale;91/S;LS;
LS92S;Specialistiche in statistica per la ricerca sperimentale;92/S;LS;
LS93S;Specialistiche in storia antica;93/S;LS;
LS94S;Specialistiche in storia contemporanea;94/S;LS;
LS95S;Specialistiche in storia dell'arte;95/S;LS;
LS96S;Specialistiche in storia della filosofia;96/S;LS;
LS97S;Specialistiche in storia medievale;97/S;LS;
LS98S;Specialistiche in storia moderna;98/S;LS;
LS99S;Specialistiche in studi europei;99/S;LS;
LS100S;Specialistiche in tecniche e metodi per la societa dell'informazione;100/S;LS;
LS101S;Specialistiche in teoria della comunicazione;101/S;LS;
