programme_type_code;programme_type_name_it;probramme_type_name_en
MT;Laurea - dm 270/04;
LM;Laurea Magistrale a Ciclo Unico - dm 270/04;
MS;Laurea Magistrale - dm 270/04;
LT;Laurea - dm 509/99;
LV;Corso di Laurea - vecchio ordinamento;
LS;Laurea Specialistica - dm 509/99;
TU;Laurea Specialistica a Ciclo Unico - dm 509/99;
DU;Corso di Diploma Universitario - vecchio ordinamento;
DR;Dottorato di Ricerca;
M1;Master Universitario di I livello;
M2;Master Universitario di II livello;
SS;Scuola di Specializzazione;
SF;Scuola diretta a fini speciali - vecchio ordinamento;
