CODE_UN;NOME;STATALE;FLAG_TELEMATICA;
04;Università degli Studi di CAGLIARI;1;0;
08;Università degli Studi di CATANIA;1;0;
09;Università degli Studi di FERRARA;1;0;
10;Università degli Studi di FIRENZE;1;0;
15;Università degli Studi di MILANO;1;0;
16;Politecnico di MILANO;1;0;
18;Università degli Studi di NAPOLI "Federico II";1;0;
19;Università degli Studi di PADOVA;1;0;
28;Università degli Studi di SALERNO;1;0;
29;Università degli Studi di SASSARI;1;0;
34;Università degli Studi di UDINE;1;0;
44;Scuola Sup. di Studi Univ. e Perfezionamento S.Anna di PISA;1;0;
46;Università degli Studi di BRESCIA;1;0;
47;Università degli Studi "Mediterranea" di REGGIO CALABRIA;1;0;
48;Politecnico di BARI;1;0;
50;Università "Carlo Cattaneo" - LIUC;0;0;
999;Università non definita;1;0;
A0;Università "Campus Bio-Medico" ROMA;0;0;
C3;Libera Università di BOLZANO;0;0;
C4;Università degli Studi del SANNIO di BENEVENTO;1;0;
C7;Università degli Studi INSUBRIA Varese-Como;1;0;
C8;Università degli Studi del PIEMONTE ORIENTALE "Amedeo Avogadro"-Vercelli;1;0;
D2;Università della VALLE D'AOSTA;0;0;
E1;Università Telematica Pegaso;0;1;
E7;Università Telematica  "ITALIAN UNIVERSITY LINE";0;1;
H1;HUMANITAS University;0;0;
H2;Saint Camillus International University of Health Sciences;0;0;
S4;Gran Sasso Science Institute - Scuola di dottorato internazionale;1;0;
W2;Istituto Superiore di Educazione Fisica pareggiato dell'Aquila;1;0;
W3;Istituto Superiore di Educazione Fisica pareggiato di Milano;1;0;
03;Università degli Studi di BOLOGNA;1;0;
13;Università degli Studi di MACERATA;1;0;
14;Università degli Studi di MESSINA;1;0;
17;Università degli Studi di MODENA e REGGIO EMILIA;1;0;
20;Università degli Studi di PALERMO;1;0;
23;Università degli Studi di PERUGIA;1;0;
26;Università degli Studi di ROMA "La Sapienza";1;0;
31;Università degli Studi di TORINO;1;0;
32;Politecnico di TORINO;1;0;
35;Università degli Studi della TUSCIA;1;0;
51;Università degli Studi di BERGAMO;1;0;
58;Libera Università di lingue e comunicazione IULM-MI;0;0;
60;Libera Università degli Studi "Maria SS.Assunta" Roma;0;0;
61;Luiss Libera Università internazionale degli studi sociali Guido Carli;0;0;
97;Università per Stranieri di SIENA;1;0;
A6;LINK CAMPUS University;0;0;
A9;Università Vita Salute San Raffaele MILANO;0;0;
D1;Università Mediterranea "Giuseppe Degennaro";0;0;
D9;Università Telematica e-Campus;0;1;
E0;Università Telematica Niccolò Cusano;0;1;
E2;Università Telematica Giustino Fortunato;0;1;
S0;I.U.S.S. - Istituto Universitario di Studi Superiori - PAVIA;1;0;
S1;Scuola IMT Alti Studi Lucca;1;0;
S2;SUM - Istituto Italiano di SCIENZE UMANE di FIRENZE;1;0;
01;Università Politecnica delle MARCHE;1;0;
02;Università degli Studi di BARI "Aldo Moro";1;0;
05;Università della CALABRIA;1;0;
06;Università degli Studi di CAMERINO;1;0;
12;Università del SALENTO;1;0;
21;Università degli Studi di PARMA;1;0;
22;Università degli Studi di PAVIA;1;0;
24;Università degli Studi di PISA;1;0;
30;Università degli Studi di SIENA;1;0;
38;Università degli Studi della BASILICATA;1;0;
42;Università degli Studi di NAPOLI "L'Orientale";1;0;
45;Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;1;0;
53;Università degli Studi "G. d'Annunzio" CHIETI-PESCARA;1;0;
55;Università degli Studi de L'AQUILA;1;0;
57;Università Cattolica del Sacro Cuore;0;0;
62;Università degli Studi di TRENTO;1;0;
99;Università per Stranieri di PERUGIA;1;0;
A7;Università degli Studi ROMA TRE;1;0;
A8;Università degli Studi di TERAMO;1;0;
B0;Università degli Studi Internazionali di ROMA (UNINT) ;0;0;
C0;Universita' degli Studi di Roma "Foro Italico";1;0;
C9;Università degli Studi di FOGGIA;1;0;
D6;Libera Università della Sicilia Centrale "KORE" sede Enna;0;0;
D7;Università non statale Europea di Roma;0;0;
E8;Telematica Universitas Mercatorum;0;1;
E9;Università per Stranieri "Dante Alighieri" di REGGIO CALABRIA;0;0;
S5;Scuola Superiore Meridionale;1;0;
07;Università degli Studi di CASSINO e del LAZIO MERIDIONALE;1;0;
11;Università degli Studi di GENOVA;1;0;
27;Università degli Studi di ROMA "Tor Vergata";1;0;
33;Università degli Studi di TRIESTE;1;0;
36;Università "Cà Foscari" di VENEZIA;1;0;
37;Università IUAV di VENEZIA;1;0;
39;Università degli Studi del MOLISE;1;0;
40;Università degli Studi di VERONA;1;0;
41;Università degli Studi di NAPOLI "Parthenope";1;0;
43;Scuola Normale Superiore di PISA;1;0;
49;Università degli Studi della Campania "Luigi Vanvitelli";1;0;
56;Università Commerciale "Luigi Bocconi" MILANO;0;0;
59;Università degli Studi Suor Orsola Benincasa;0;0;
63;Università degli Studi di URBINO "Carlo BO";1;0;
C5;Università degli Studi "Magna Graecia" di CATANZARO;1;0;
C6;Università degli Studi di MILANO - BICOCCA;1;0;
D0;Università Telematica Internazionale UNINETTUNO;0;1;
D3;Università Telematica Guglielmo Marconi;0;1;
D4;Università Telematica UNITELMA SAPIENZA ;0;1;
D5;Università non statale di Scienze Gastronomiche;0;0;
D8;Università Telematica non statale "Leonardo da Vinci";0;1;
E4;Università Telematica San Raffaele Roma;0;1;
